Body,Department,Priority,Tags
For your attention we are evaluating your software suite for our organization,Sales and Pre-Sales,Low,quote pricing
FYI i want to discuss a bulk purchase of fifteen CRM system licenses,Sales and Pre-Sales,Medium,product demo
Requesting assistance requesting installation of OneDrive on my work workstation,Billing and Payments,Critical,authentication error
Good morning could you share case studies for your analytics tool in our industry,Technical Support,Medium,subscription renewal
Need support i would like to learn more about the analytics tool before purchasing,Sales and Pre-Sales,Medium,bulk purchase
Following up my payment for the cloud storage did not go through successfully,Billing and Payments,Low,purchase order
Following up i would like a quote for twenty units of your storage plan,Sales and Pre-Sales,Low,sales inquiry
I need pricing for adding more seats to our premium subscription,Sales and Pre-Sales,Medium,trial evaluation
Need support the headset is missing parts and I would like to return it,Sales and Pre-Sales,Medium,return label
Quick question i need help configuring the ERP system on my new company phone,Technical Support,Medium,cloud storage
Good morning i have not received the account statement for last month's monthly plan,Billing and Payments,Low,refund billing
Requesting assistance please explain the discount added to my latest invoice,Billing and Payments,Low,tax invoice
Hi team my payment method was declined when paying the monthly statement,Billing and Payments,Medium,tax invoice
For your attention i would like to compare your cloud platform against competitors,Sales and Pre-Sales,Low,enterprise plan
Quick question i want to discuss a bulk purchase of ten CRM system licenses,Sales and Pre-Sales,Medium,enterprise plan
FYI i received the wrong laptop in my recent order,Sales and Pre-Sales,Medium,damaged item
FYI my auto-payment for the subscription failed this billing cycle,Billing and Payments,Medium,overcharge dispute
Hi team my tablet froze completely while running Exchange,Technical Support,High,laptop hardware
Quick question what is the onboarding process for new security solution customers,Sales and Pre-Sales,Medium,product demo
Requesting assistance the tax details on my employee record is incorrect,Human Resources,High,leave request
Need support i would like to compare your CRM system against competitors,Sales and Pre-Sales,Low,enterprise plan
Quick question how do I access my offer letter from previous years,Human Resources,Low,employment letter
Urgent i need help configuring OneDrive on my new docking station,Technical Support,High,wifi connection
I need a refund for the a double payment on my last bill,Billing and Payments,Medium,payment failed
Kindly assist can your team provide a customized quote for analytics tool,Sales and Pre-Sales,High,proposal request
FYI the OneDrive on my workstation will not open after the system update,Technical Support,High,vpn network
Reporting an issue my reimbursement for shift allowance has not been processed,Human Resources,Medium,leave request
Following up please send me the feature comparison for your analytics tool plans,Sales and Pre-Sales,Medium,enterprise plan
Urgent how do I exchange the headset for the correct configuration,Returns and Exchanges,Medium,defective hardware
Reporting an issue my subscription renewal shows an unexpected subscription fee,Billing and Payments,Low,duplicate charge
Need support the webcam arrived late and is no longer needed,Returns and Exchanges,Low,wrong item
Please help we are considering switching to your hosting solution,Sales and Pre-Sales,Low,bulk purchase
Quick question i would like to return the printer I received last week,Returns and Exchanges,Low,wrong item
I received the wrong router in my recent order,Returns and Exchanges,Medium,exchange product
Requesting assistance requesting a trial version of the backup solution for evaluation,Sales and Pre-Sales,Medium,license upgrade
Need support please send me the feature comparison for your collaboration suite plans,Sales and Pre-Sales,Low,bulk purchase
For your attention i want to opt out of the wellness program for the next enrollment period,Human Resources,Low,reimbursement claim
Reporting an issue a duplicate charge for cloud storage appeared on my bill,Billing and Payments,High,refund billing
Kindly assist requesting an exchange for the keyboard due to it being missing components,Returns and Exchanges,Medium,damaged item
Good morning we are considering switching to your support solution,Sales and Pre-Sales,Medium,product demo
Kindly assist please confirm the status of my vacation time application,Returns and Exchanges,Low,hr portal
Hi team my authentication token is not working for Azure,Technical Support,Medium,cloud storage
Hi team my refund for the returned printer has not arrived yet,Returns and Exchanges,Low,exchange product
Kindly assist can your team provide a customized quote for software suite,Sales and Pre-Sales,Medium,subscription renewal
Reporting an issue requesting a return authorization for the defective headset,Returns and Exchanges,Medium,replacement request
Please help the corporate card on my account needs to be updated urgently,Billing and Payments,Medium,subscription charge
Good morning the tax amount on my invoice appears to be calculated incorrectly,Billing and Payments,Medium,subscription charge
Urgent i want to renew our contract and expand our managed service usage,Sales and Pre-Sales,Low,trial evaluation
Need support the company intranet connection drops repeatedly during peak hours,Technical Support,Medium,server access
For your attention my study leave balance was not updated after my last request,Human Resources,Low,leave request
I received the wrong office chair in my recent order,Returns and Exchanges,Medium,damaged item
Hi team requesting a return authorization for the defective docking station,Returns and Exchanges,High,defective hardware
FYI i would like a full refund for the malfunctioning docking station,Returns and Exchanges,Low,exchange product
Hello please arrange a call to discuss our premium requirements,Technical Support,Low,license upgrade
Following up my subscription renewal shows an unexpected currency conversion,Billing and Payments,High,subscription charge
Need support my account is locked out of Azure after multiple attempts,Technical Support,High,cloud storage
Quick question the billing system charged me twice for the same premium plan,Billing and Payments,Low,subscription charge
Following up the Exchange on my company phone will not open after the operating system update,Technical Support,High,printer issue
FYI can you explain the difference between your licensing tiers,Sales and Pre-Sales,Low,bulk purchase
For your attention why does my account statement show a subscription fee higher than expected,Billing and Payments,Medium,purchase order
FYI the office chair does not work with our existing equipment,Returns and Exchanges,Medium,shipping damage
Kindly assist we are considering switching to your premium solution,Sales and Pre-Sales,Medium,bulk purchase
FYI the the accounting software keeps crashing whenever I try to share my screen,Technical Support,Critical,system update
Following up can you provide pricing details for the CRM system package,Sales and Pre-Sales,Low,sales inquiry
Hi team i would like a quote for five units of your storage plan,Sales and Pre-Sales,Low,sales inquiry
Need support we need a scalable collaboration suite solution for one hundred users,Sales and Pre-Sales,Medium,sales inquiry
Need support my parental leave request has not been approved yet,Human Resources,Medium,payroll salary
Please help the login reset link for the file server is not working,Technical Support,Critical,outlook email
Hello i cannot connect to the company VPN from home,Technical Support,High,server access
Hello my return request for the webcam has not been approved yet,Returns and Exchanges,Low,store credit
Quick question requesting an extension on my maternity leave due to personal reasons,Human Resources,High,hr portal
Need support i was billed for support package that we already cancelled,Billing and Payments,Medium,refund billing
Following up please share information about your enterprise software suite options,Sales and Pre-Sales,Low,enterprise plan
Quick question the invoice generated this month contains incorrect subscription fee,Billing and Payments,Low,purchase order
FYI requesting an extension on my annual leave due to personal reasons,Human Resources,Low,payroll salary
Hi team the refund I requested for hosting service has not been processed yet,Billing and Payments,Medium,subscription charge
Hi team i want to discuss a bulk purchase of twenty storage plan licenses,Sales and Pre-Sales,Low,trial evaluation
For your attention my account is locked out of Office 365 after multiple attempts,Technical Support,Critical,printer issue
Urgent i cannot connect to the company LAN from a hotel,Technical Support,Critical,active directory
Kindly assist can you clarify the company policy regarding gym membership,Human Resources,Medium,payroll salary
Urgent my sick leave balance was not updated after my last request,Human Resources,Medium,leave request
Hi team a duplicate charge for cloud storage appeared on my invoice,Billing and Payments,Medium,subscription charge
Reporting an issue my subscription renewal shows an unexpected discount,Billing and Payments,Low,payment failed
FYI there is a discrepancy in the subscription fee on my monthly statement,Billing and Payments,Medium,duplicate charge
Requesting assistance i want to exchange the tablet for a different version,Returns and Exchanges,Medium,damaged item
Need support please confirm the status of my unpaid leave application,Human Resources,High,enrollment benefits
Good morning i have a question regarding my vision coverage enrollment,Human Resources,Low,employee benefits
Please help my company phone froze completely while running SharePoint,Technical Support,Medium,outlook email
Urgent i want to discuss a bulk purchase of five analytics tool licenses,Sales and Pre-Sales,Medium,sales inquiry
